Time, Humidity, CO2, TVOC
20:07:39, 94.30000305175781, 70.51999931335449, 400, 0
20:08:09, 94.5999984741211, 70.33999862670899, 14847, 313
20:08:40, 96.0999984741211, 69.98000068664551, 3858, 0
20:09:11, 97.5999984741211, 69.98000068664551, 4574, 0
20:09:41, 97.0999984741211, 69.8, 3217, 0
20:10:12, 96.4000015258789, 69.6199993133545, 3715, 0
20:10:43, 99.19999694824219, 69.6199993133545, 3765, 0
20:11:13, 99.9000015258789, 69.43999862670898, 3664, 0
20:11:44, 99.9000015258789, 69.43999862670898, 3535, 0
20:12:17, 99.9000015258789, 69.43999862670898, 3494, 0
20:12:48, 99.9000015258789, 69.43999862670898, 3348, 0
20:13:19, 99.9000015258789, 69.43999862670898, 3277, 0
20:13:52, 99.9000015258789, 69.43999862670898, 3097, 0
20:14:22, 99.9000015258789, 69.43999862670898, 3014, 0
