Time, Humidity, CO2, TVOC
22:04:59, 99.9000015258789, 67.81999931335449, 400, 0
22:05:30, 99.9000015258789, 66.56000137329102, 400, 0
22:06:01, 99.9000015258789, 66.3800006866455, 1078, 0
22:06:31, 99.9000015258789, 66.3800006866455, 993, 0
22:07:02, 99.9000015258789, 66.3800006866455, 924, 0
22:07:33, 99.9000015258789, 66.3800006866455, 860, 0
22:08:03, 99.9000015258789, 66.2, 805, 0
22:08:34, 99.9000015258789, 66.2, 751, 0
22:09:07, 99.9000015258789, 65.83999862670899, 705, 0
22:09:38, 99.9000015258789, 65.83999862670899, 657, 0
22:10:09, 99.9000015258789, 65.83999862670899, 615, 0
22:10:39, 99.9000015258789, 65.83999862670899, 572, 0
22:11:10, 99.9000015258789, 65.83999862670899, 513, 0
22:11:41, 99.9000015258789, 65.66000137329101, 469, 0
22:12:14, 99.9000015258789, 65.66000137329101, 425, 0
22:12:44, 99.9000015258789, 65.48000068664551, 400, 0
22:13:15, 99.9000015258789, 65.48000068664551, 400, 0
22:13:46, 99.9000015258789, 65.48000068664551, 400, 0
22:14:16, 99.9000015258789, 65.48000068664551, 400, 0
22:14:47, 99.9000015258789, 65.3, 400, 0
22:15:18, 99.9000015258789, 65.3, 400, 0
22:15:48, 99.9000015258789, 65.3, 400, 0
22:16:19, 99.9000015258789, 65.3, 400, 0
22:16:50, 99.9000015258789, 65.1199993133545, 400, 0
22:17:20, 99.9000015258789, 65.1199993133545, 400, 0
22:17:51, 99.9000015258789, 65.1199993133545, 400, 0
22:18:22, 99.9000015258789, 65.1199993133545, 400, 0
22:18:52, 99.9000015258789, 64.93999862670898, 400, 0
22:19:23, 99.9000015258789, 64.93999862670898, 400, 0
22:19:54, 99.9000015258789, 64.93999862670898, 400, 0
22:20:24, 99.9000015258789, 64.93999862670898, 400, 0
22:20:55, 99.9000015258789, 64.76000137329102, 400, 0
22:21:26, 99.9000015258789, 64.76000137329102, 400, 0
22:21:56, 99.9000015258789, 64.76000137329102, 400, 0
22:22:27, 99.9000015258789, 64.76000137329102, 400, 0
22:22:58, 99.9000015258789, 64.76000137329102, 400, 0
22:23:28, 99.9000015258789, 64.5800006866455, 400, 0
22:23:59, 99.9000015258789, 64.5800006866455, 400, 0
