Time, Humidity, CO2, TVOC
20:01:01, 99.9000015258789, 71.6, 400, 0
20:01:32, 89.69999694824219, 71.06000137329102, 1710, 0
20:02:05, 83.69999694824219, 70.8800006866455, 1648, 0
20:02:36, 83.4000015258789, 70.7, 1651, 0
20:03:06, 83.9000015258789, 70.7, 1595, 0
20:03:37, 83.4000015258789, 70.51999931335449, 1553, 0
20:04:08, 82.4000015258789, 70.51999931335449, 1549, 0
20:04:38, 81.80000305175781, 70.33999862670899, 1554, 0
20:05:09, 81.19999694824219, 70.16000137329101, 1530, 0
20:05:40, 80.80000305175781, 70.16000137329101, 1521, 0
20:06:10, 80.5, 69.98000068664551, 1528, 0
20:06:41, 80.19999694824219, 69.98000068664551, 1533, 0
20:07:11, 80.0999984741211, 69.8, 1540, 0
20:07:42, 80.30000305175781, 69.8, 1518, 0
20:08:13, 80.0999984741211, 69.6199993133545, 1511, 0
20:08:43, 80.0999984741211, 69.6199993133545, 1515, 0
20:09:14, 79.9000015258789, 69.6199993133545, 1511, 0
20:09:45, 79.80000305175781, 69.43999862670898, 1509, 0
20:10:15, 79.80000305175781, 69.26000137329102, 1511, 0
20:10:46, 79.69999694824219, 69.43999862670898, 1502, 0
20:11:17, 79.80000305175781, 69.26000137329102, 1500, 0
20:11:47, 79.69999694824219, 69.26000137329102, 1486, 0
20:12:18, 79.69999694824219, 69.26000137329102, 1512, 0
20:12:49, 79.30000305175781, 69.26000137329102, 1506, 0
20:13:19, 79.30000305175781, 69.26000137329102, 1498, 0
20:13:50, 79.4000015258789, 69.26000137329102, 1497, 0
20:14:23, 79.19999694824219, 69.26000137329102, 1510, 0
20:14:54, 79.19999694824219, 69.26000137329102, 1499, 0
20:15:25, 79.30000305175781, 69.26000137329102, 1508, 0
20:15:55, 79.30000305175781, 69.26000137329102, 1501, 0
20:16:26, 79.0999984741211, 69.26000137329102, 1516, 0
20:16:57, 79.30000305175781, 69.43999862670898, 1513, 0
20:17:27, 78.9000015258789, 69.43999862670898, 1507, 0
20:17:58, 79.0, 69.43999862670898, 1501, 0
20:18:28, 78.80000305175781, 69.43999862670898, 1501, 0
20:18:59, 78.5999984741211, 69.6199993133545, 1507, 0
20:19:30, 78.30000305175781, 69.6199993133545, 1509, 0
20:20:00, 78.0, 69.8, 1500, 0
20:20:31, 77.9000015258789, 69.8, 1498, 0
20:21:02, 77.69999694824219, 69.8, 1512, 0
20:21:32, 77.69999694824219, 69.8, 1501, 0
20:22:03, 77.5999984741211, 69.98000068664551, 1507, 0
20:22:34, 77.30000305175781, 69.98000068664551, 1488, 0
20:23:04, 77.19999694824219, 69.98000068664551, 1500, 0
20:23:35, 77.0, 69.98000068664551, 1497, 0
20:24:06, 76.9000015258789, 69.98000068664551, 1493, 0
20:24:36, 76.80000305175781, 70.16000137329101, 1489, 0
20:25:07, 76.69999694824219, 70.16000137329101, 1486, 0
20:25:38, 76.5, 70.16000137329101, 1485, 0
20:26:08, 76.30000305175781, 70.16000137329101, 1480, 0
20:26:39, 76.30000305175781, 70.16000137329101, 1489, 0
20:27:10, 76.30000305175781, 70.33999862670899, 1477, 0
20:27:40, 76.0, 70.33999862670899, 1470, 0
20:28:11, 76.0, 70.33999862670899, 1482, 0
20:28:42, 75.80000305175781, 70.33999862670899, 1497, 0
20:29:12, 75.9000015258789, 70.33999862670899, 1493, 0
20:29:43, 75.80000305175781, 70.33999862670899, 1483, 0
20:30:14, 75.69999694824219, 70.51999931335449, 1485, 0
20:30:44, 75.5, 70.51999931335449, 1484, 0
20:31:15, 75.5, 70.51999931335449, 1497, 0
20:31:46, 75.5, 70.51999931335449, 1480, 0
20:32:16, 75.4000015258789, 70.51999931335449, 1489, 0
20:32:47, 75.30000305175781, 70.7, 1493, 0
20:33:18, 75.19999694824219, 70.7, 1488, 0
20:33:48, 75.0, 70.7, 1482, 0
20:34:19, 75.0, 70.7, 1479, 0
20:34:50, 74.9000015258789, 70.7, 1474, 0
20:35:20, 74.69999694824219, 70.7, 1475, 0
20:35:51, 74.4000015258789, 70.7, 1459, 0
20:36:24, 73.0, 70.8800006866455, 1430, 0
20:36:55, 72.9000015258789, 70.7, 1451, 0
20:37:25, 72.30000305175781, 70.8800006866455, 1432, 0
20:37:56, 71.80000305175781, 70.7, 1423, 0
20:38:27, 70.80000305175781, 70.7, 1422, 0
20:38:57, 70.30000305175781, 70.7, 1404, 0
20:39:28, 69.5999984741211, 70.51999931335449, 1468, 0
20:40:01, 83.0999984741211, 70.16000137329101, 1404, 0
20:40:32, 83.0999984741211, 70.16000137329101, 1430, 0
20:41:02, 85.19999694824219, 69.8, 1428, 0
20:41:33, 86.9000015258789, 69.43999862670898, 1424, 0
20:42:04, 88.5999984741211, 69.0800006866455, 1420, 0
20:42:34, 90.19999694824219, 68.71999931335449, 1427, 0
20:43:05, 90.80000305175781, 68.36000137329101, 1442, 0
20:43:36, 91.19999694824219, 68.18000068664551, 1496, 0
20:44:06, 90.0, 68.36000137329101, 1512, 0
20:44:37, 82.5999984741211, 73.03999862670898, 1512, 0
20:45:08, 86.0, 75.2, 1470, 0
20:45:38, 80.19999694824219, 75.56000137329102, 1522, 0
20:46:12, 77.4000015258789, 75.73999862670898, 1509, 0
20:46:42, 76.19999694824219, 75.73999862670898, 1581, 0
20:47:13, 68.9000015258789, 77.53999862670898, 1724, 0
20:47:44, 65.4000015258789, 78.43999862670898, 1593, 0
20:48:14, 61.70000076293945, 80.23999862670898, 1534, 0
20:48:45, 68.4000015258789, 80.78000068664551, 1512, 0
