Time, Humidity, CO2, TVOC
20:52:30, 92.69999694824219, 74.1199993133545, 400, 0
20:53:01, 93.5999984741211, 73.93999862670898, 1521, 0
20:53:32, 95.5, 73.4, 1486, 0
20:54:02, 97.0, 73.03999862670898, 1445, 0
20:54:33, 98.19999694824219, 72.68000068664551, 1405, 0
20:55:04, 99.0999984741211, 72.31999931335449, 1360, 0
20:55:34, 99.9000015258789, 72.31999931335449, 1333, 0
20:56:05, 99.9000015258789, 72.13999862670899, 1280, 0
20:56:36, 99.9000015258789, 72.13999862670899, 1241, 0
20:57:06, 99.9000015258789, 72.13999862670899, 1192, 0
20:57:40, 92.0, 76.1, 2167, 0
20:58:10, 92.30000305175781, 76.81999931335449, 1876, 0
20:58:41, 92.0, 79.51999931335449, 1985, 0
20:59:11, 85.0999984741211, 81.68000068664551, 2425, 0
20:59:42, 79.5999984741211, 82.93999862670898, 2192, 0
21:00:13, 73.0, 84.3800006866455, 2153, 0
21:00:43, 68.5999984741211, 85.63999862670899, 2220, 0
21:01:17, 57.900001525878906, 88.7, 2144, 0
21:01:47, 57.79999923706055, 88.7, 2111, 0
21:02:18, 54.79999923706055, 90.13999862670899, 2127, 0
21:02:49, 52.79999923706055, 91.22000274658203, 2026, 0
21:03:19, 51.70000076293945, 91.4, 2904, 0
21:03:50, 50.900001525878906, 90.5, 1593, 0
21:04:23, 55.70000076293945, 87.98000068664551, 1618, 0
21:04:54, 56.79999923706055, 87.6199993133545, 1657, 0
21:05:24, 64.30000305175781, 86.53999862670898, 2021, 0
21:05:55, 55.70000076293945, 86.53999862670898, 2130, 0
21:06:26, 56.0, 87.98000068664551, 2208, 0
21:06:56, 54.79999923706055, 89.6, 2319, 0
21:07:27, 58.400001525878906, 91.93999862670898, 2150, 0
21:07:58, 65.4000015258789, 92.47999725341796, 1957, 0
21:08:28, 64.0, 92.3, 1902, 0
21:08:59, 62.79999923706055, 91.57999725341797, 1779, 0
21:09:30, 63.599998474121094, 90.67999725341797, 1733, 0
21:10:00, 71.80000305175781, 89.77999725341797, 1660, 0
21:10:31, 81.4000015258789, 89.06000137329102, 1531, 0
21:11:02, 86.0, 88.16000137329101, 1482, 0
21:11:32, 89.4000015258789, 87.6199993133545, 1455, 0
21:12:03, 90.30000305175781, 86.9, 1484, 0
21:12:34, 90.0999984741211, 86.18000068664551, 1516, 0
